Hero Name,# of Wins,Time Played,Avg Eliminations per Game,Damage Done,Healing,Deaths,Gold,Silver,Bronze,Weapon Accuracy
Mercy,104,24 hours,1.06,413,"12,684",10.88,2.01,0.29,0.47,25%
Hanzo,86,21 hours,20.08,"10,103",0,12.33,0.97,1.21,1.8,17%
D.Va,81,20 hours,26.58,"8,845",0,8.94,2.07,1.73,1.53,20%
Junkrat,51,14 hours,23.82,"12,572",0,15.31,1.29,1.67,1.8,18%
Lucio,49,11 hours,15.08,"3,628","11,416",11.22,2.16,0.8,0.76,19%
Reaper,45,11 hours,23.49,"7,916",662,12.98,0.93,1.84,2.71,20%
Soldier: 76,43,11 hours,25.63,"9,635","1,852",14.7,1.4,2.98,2.37,24%
Roadhog,34,9 hours,25.59,"9,823","5,926",13.62,1.47,2.91,2.21,26%
Pharah,31,9 hours,21.71,"11,144",0,15.71,0.77,1.26,1.55,37%
Mei,31,9 hours,22.52,"3,828","1,753",14.9,1.61,2.03,1.87,33%
Zenyatta,25,5 hours,10.72,"4,544","5,672",9.12,1.6,1,1.08,22%
Genji,13,3 hours,15.85,"8,014",0,13.69,0.77,1.31,1.92,21%
Symmetra,10,1 hour,17.8,"4,425",0,9.8,0.8,1.2,1,N/A
McCree,6,1 hour,23.83,"13,438",0,20.5,0.83,2,2.5,34%
Tracer,5,1 hour,33,"10,471","1,551",30.4,1.4,3.2,3,23%
Sombra,10,1 hour,10.8,"2,360",0,5.2,0.3,0.2,1.2,21%
Torbjorn,6,1 hour,22.83,"9,837",0,11.67,1.33,1.67,1.33,19%
Ana,6,1 hour,7.33,"3,012","6,840",13.5,1.83,0.5,0.83,10%
Winston,5,1 hour,27.4,"6,272",0,22,1.4,2.2,1,N/A
Reinhardt,4,1 hour,8,"3,929",0,18.5,2,1.75,1,N/A
Bastion,4,< 1 hour,12.25,"5,626",370,9,1.25,1.5,1.25,14%
Zarya,1,< 1 hour,38,"14,796",0,42,3,3,4,34%
Orisa,1,< 1 hour,50,"20,683",0,32,6,4,3,25%
