app,date,mb
TOP,Sep 2016,0.13
TOP,Oct 2016,0.09
TOP,Nov 2016,0.096
TOP,Dec 2016,0.87
TOP,Jan 2017,0
TOP,Feb 2017,0
TOP,Mar 2017,0
TOP,Apr 2017,0
TOP,May 2017,0
TOP,Jun 2017,0
TOP,Jul 2017,0
TOP,Aug 2017,0
TOP,Sep 2017,0
KHAN ACADEMY,Sep 2016,0
KHAN ACADEMY,Oct 2016,0
KHAN ACADEMY,Nov 2016,0
KHAN ACADEMY,Dec 2016,0
KHAN ACADEMY,Jan 2017,0
KHAN ACADEMY,Feb 2017,0
KHAN ACADEMY,Mar 2017,0
KHAN ACADEMY,Apr 2017,0
KHAN ACADEMY,May 2017,0
KHAN ACADEMY,Jun 2017,0
KHAN ACADEMY,Jul 2017,0
KHAN ACADEMY,Aug 2017,0
KHAN ACADEMY,Sep 2017,0.43
YOUTUBE,Sep 2016,23
YOUTUBE,Oct 2016,12
YOUTUBE,Nov 2016,18
YOUTUBE,Dec 2016,26
YOUTUBE,Jan 2017,32
YOUTUBE,Feb 2017,20
YOUTUBE,Mar 2017,13
YOUTUBE,Apr 2017,28
YOUTUBE,May 2017,17
YOUTUBE,Jun 2017,16
YOUTUBE,Jul 2017,20
YOUTUBE,Aug 2017,38
YOUTUBE,Sep 2017,12
NETFLIX,Sep 2016,0.32
NETFLIX,Oct 2016,0.27
NETFLIX,Nov 2016,0.18
NETFLIX,Dec 2016,0.29
NETFLIX,Jan 2017,0.31
NETFLIX,Feb 2017,0.1
NETFLIX,Mar 2017,0.22
NETFLIX,Apr 2017,0.16
NETFLIX,May 2017,0.3
NETFLIX,Jun 2017,0.12
NETFLIX,Jul 2017,0.3
NETFLIX,Aug 2017,92
NETFLIX,Sep 2017,76
STEAM,Sep 2016,0
STEAM,Oct 2016,0
STEAM,Nov 2016,0
STEAM,Dec 2016,0
STEAM,Jan 2017,0
STEAM,Feb 2017,0
STEAM,Mar 2017,0
STEAM,Apr 2017,0
STEAM,May 2017,0
STEAM,Jun 2017,13
STEAM,Jul 2017,0.45
STEAM,Aug 2017,8.4
STEAM,Sep 2017,0
ATOM,Sep 2016,0.01
ATOM,Oct 2016,0.01
